In.your.opinion..which.sentence.is.more.gramatically.correct.,Prior.to.reading.about.it.above..had.you.heard.of.the.serial..or.Oxford..comma.,How.much..if.at.all..do.you.care.about.the.use..or.lack.thereof..of.the.serial..or.Oxford..comma.in.grammar.,How.would.you.write.the.following.sentence.,When.faced.with.using.the.word..data...have.you.ever.spent.time.considering.if.the.word.was.a.singular.or.plural.noun.,How.much..if.at.all..do.you.care.about.the.debate.over.the.use.of.the.word..data..as.a.singluar.or.plural.noun.,In.your.opinion..how.important.or.unimportant.is.proper.use.of.grammar.,Gender,Age,Household.Income,Education,Location..Census.Region.,isare,thoughtabout,careabout
"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Neither important nor unimportant (neutral),Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,data is,yes,Not at all
"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,30-44,"$100,000 - $149,999",Bachelor degree,New England,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,18-29,"$0 - $24,999",Some college or Associate degree,New England,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$25,000 - $49,999",Bachelor degree,East South Central,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,45-60,"$50,000 - $99,999",Graduate degree,Mountain,data is,yes,Not much
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,New England,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Male,45-60,"$150,000+",Some college or Associate degree,South Atlantic,data are,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain,data are,yes,Not much
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,West South Central,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,45-60,"$150,000+",High school degree,South Atlantic,data is,no,Some
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,18-29,"$25,000 - $49,999",Less than high school degree,New England,data is,no,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,> 60,"$150,000+",Bachelor degree,Pacific,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,45-60,"$25,000 - $49,999",Bachelor degree,Pacific,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Male,45-60,"$150,000+",Graduate degree,East North Central,data are,yes,Not much
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,30-44,"$0 - $24,999",Some college or Associate degree,West North Central,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,30-44,"$150,000+",Bachelor degree,East North Central,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,"$100,000 - $149,999",Graduate degree,New England,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Neither important nor unimportant (neutral),Female,30-44,"$100,000 - $149,999",High school degree,Middle Atlantic,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,"$25,000 - $49,999",Bachelor degree,Pacific,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Female,30-44,"$100,000 - $149,999",Graduate degree,New England,data are,yes,A lot
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,30-44,"$150,000+",Bachelor degree,Middle Atlantic,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Neither important nor unimportant (neutral),Female,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,18-29,"$100,000 - $149,999",Graduate degree,East North Central,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$50,000 - $99,999",High school degree,East North Central,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Neither important nor unimportant (neutral),Female,30-44,"$100,000 - $149,999",Bachelor degree,East South Central,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,> 60,"$0 - $24,999",Some college or Associate degree,New England,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,45-60,"$25,000 - $49,999",High school degree,South Atlantic,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,> 60,"$100,000 - $149,999",Graduate degree,Mountain,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,> 60,"$150,000+",Graduate degree,Middle Atlantic,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Female,45-60,"$150,000+",Bachelor degree,Pacific,data are,yes,Not much
"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$25,000 - $49,999",Bachelor degree,Pacific,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not at all,Very important,Female,45-60,"$150,000+",Graduate degree,Pacific,data are,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Female,30-44,"$150,000+",Bachelor degree,East North Central,data are,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Female,30-44,"$0 - $24,999",Graduate degree,Pacific,data is,no,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Neither important nor unimportant (neutral),Male,18-29,"$25,000 - $49,999",Bachelor degree,Pacific,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,> 60,"$0 - $24,999",Graduate degree,South Atlantic,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Neither important nor unimportant (neutral),Female,30-44,"$0 - $24,999",High school degree,West South Central,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$0 - $24,999",Bachelor degree,South Atlantic,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not at all,Somewhat important,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific,data are,no,Not at all
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Male,18-29,"$0 - $24,999",Graduate degree,Pacific,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific,data are,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,45-60,"$50,000 - $99,999",Bachelor degree,Pacific,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,18-29,"$0 - $24,999",Some college or Associate degree,East South Central,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,A lot,Very important,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific,data are,no,A lot
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,18-29,"$25,000 - $49,999",Bachelor degree,West North Central,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,18-29,"$100,000 - $149,999",Bachelor degree,Mountain,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,data is,yes,Not much
"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific,data is,yes,A lot
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,18-29,"$0 - $24,999",Bachelor degree,New England,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,30-44,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,18-29,"$150,000+",Bachelor degree,West North Central,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,A lot,Somewhat important,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific,data are,no,A lot
"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,18-29,"$25,000 - $49,999",Bachelor degree,South Atlantic,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,18-29,"$0 - $24,999",Bachelor degree,Middle Atlantic,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,18-29,"$0 - $24,999",Bachelor degree,Middle Atlantic,data is,yes,Not much
"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$25,000 - $49,999",Bachelor degree,New England,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,> 60,"$100,000 - $149,999",Graduate degree,East South Central,data is,yes,Not much
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,45-60,"$25,000 - $49,999",Graduate degree,New England,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$25,000 - $49,999",Bachelor degree,West North Central,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,18-29,"$25,000 - $49,999",High school degree,Mountain,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,30-44,"$25,000 - $49,999",Graduate degree,New England,data is,no,Some
"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,data is,yes,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,data is,yes,A lot
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,45-60,"$100,000 - $149,999",Bachelor degree,West South Central,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,18-29,"$150,000+",High school degree,West South Central,data is,no,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not at all,Very important,Male,> 60,"$150,000+",Bachelor degree,South Atlantic,data are,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Neither important nor unimportant (neutral),Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,data is,yes,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$25,000 - $49,999",Graduate degree,East North Central,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,45-60,"$150,000+",Some college or Associate degree,East North Central,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,18-29,"$25,000 - $49,999",Bachelor degree,Pacific,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic,data is,yes,A lot
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Very important,Female,30-44,"$25,000 - $49,999",Bachelor degree,South Atlantic,data is,yes,Not at all
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,> 60,"$25,000 - $49,999",High school degree,East North Central,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,18-29,"$150,000+",Some college or Associate degree,Pacific,data is,yes,Not much
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$50,000 - $99,999",Graduate degree,West North Central,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,18-29,"$0 - $24,999",Some college or Associate degree,West North Central,data is,no,Some
"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,data is,no,Some
"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,18-29,"$50,000 - $99,999",High school degree,South Atlantic,data is,yes,A lot
"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,> 60,"$25,000 - $49,999",High school degree,South Atlantic,data is,yes,A lot
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West South Central,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Very important,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central,data are,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,data is,yes,Not much
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,> 60,"$100,000 - $149,999",Bachelor degree,West South Central,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,45-60,"$0 - $24,999",Bachelor degree,,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,18-29,"$0 - $24,999",Less than high school degree,East North Central,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,18-29,"$0 - $24,999",High school degree,South Atlantic,data is,yes,Not much
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Neither important nor unimportant (neutral),Male,30-44,"$100,000 - $149,999",Graduate degree,New England,data is,yes,Not much
"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$25,000 - $49,999",High school degree,East North Central,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,45-60,"$150,000+",Bachelor degree,East North Central,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Female,18-29,"$0 - $24,999",Bachelor degree,Middle Atlantic,data are,yes,Some
